AREA_A,AREA_B,DIST_KM
E06000043,E07000006,85.482
E06000034,E07000006,67.06
W06000020,E07000006,171.247
E06000027,E07000006,240.743
E06000007,E07000006,244.873
E06000037,E07000006,50.991
S12000039,E07000006,556.408
S12000040,E07000006,520.187
E06000054,E07000006,98.495
E06000040,E07000006,10.933
E06000041,E07000006,24.811
W06000006,E07000006,229.942
E06000014,E07000006,269.144
E07000144,E07000006,182.102
E07000147,E07000006,187.618
E07000044,E07000006,262.335
E07000046,E07000006,266.242
E06000046,E07000006,109.685
W06000001,E07000006,321.256
W06000002,E07000006,277.791
W06000015,E07000006,181.084
W06000008,E07000006,251.918
W06000021,E07000006,159.116
W06000009,E07000006,298.783
E06000024,E07000006,154.683
S12000017,E07000006,721.74
S12000020,E07000006,680.946
S12000023,E07000006,845.882
S12000013,E07000006,813.843
S12000035,E07000006,601.862
S12000034,E07000006,646.234
S12000015,E07000006,545.848
S12000033,E07000006,631.465
S12000036,E07000006,517.682
S12000010,E07000006,507.721
S12000027,E07000006,984.642
S12000021,E07000006,540.077
S12000006,E07000006,450.775
E06000044,E07000006,88.679
E06000026,E07000006,279.613
S12000028,E07000006,494.609
E06000057,E07000006,421.549
E06000052,E07000006,323.801
E06000053,E07000006,442.364
N92000002,E07000006,531.411
GI,E07000006,1756.105
E07000007,E07000005,13.429
E07000006,E07000005,14.051
E07000005,E07000005,0
E07000004,E07000005,29.499
E07000010,E07000005,108.893
E07000012,E07000005,73.329
E07000009,E07000005,97.165
E07000011,E07000005,82.005
E07000008,E07000005,77.891
E07000029,E07000005,355.387
E07000028,E07000005,393.794
E07000031,E07000005,326.626
E07000026,E07000005,379.823
E07000030,E07000005,352.395
E07000027,E07000005,322.86
E07000037,E07000005,206.375
E07000039,E07000005,142.91
E07000036,E07000005,147.958
E07000038,E07000005,180.719
E07000032,E07000005,160.542
E07000033,E07000005,176.383
E07000035,E07000005,176.606
E07000034,E07000005,182.996
E07000043,E07000005,238.639
E07000040,E07000005,208.006
E07000045,E07000005,243.214
E07000047,E07000005,264.755
E07000042,E07000005,222.99
E07000041,E07000005,227.866
E07000051,E07000005,152.913
E07000048,E07000005,130.437
E07000052,E07000005,168.752
E07000049,E07000005,130.037
E07000050,E07000005,141.531
E07000053,E07000005,174.724
E07000063,E07000005,99.171
E07000064,E07000005,114.859
E07000065,E07000005,98.03
E07000061,E07000005,118.397
E07000062,E07000005,123.002
E07000068,E07000005,65.098
E07000075,E07000005,99.988
E07000072,E07000005,53.767
E07000076,E07000005,122.139
E07000077,E07000005,68.672
E07000070,E07000005,76.794
E07000071,E07000005,104.93
E07000074,E07000005,97.599
E07000067,E07000005,88.857
E07000073,E07000005,51.797
E07000066,E07000005,76.398
E07000069,E07000005,86.177
E07000080,E07000005,129.602
E07000079,E07000005,88.647
E07000082,E07000005,115.696
E07000083,E07000005,104.862
E07000081,E07000005,112.857
E07000078,E07000005,102.624
E07000084,E07000005,60.287
E07000091,E07000005,114.881
E07000086,E07000005,96.378
E07000085,E07000005,71.144
E07000094,E07000005,83.494
E07000093,E07000005,86.845
E07000089,E07000005,47.831
E07000088,E07000005,104.183
E07000087,E07000005,101.053
E07000090,E07000005,97.012
E07000092,E07000005,46.304
E07000102,E07000005,11.763
E07000098,E07000005,23.974
E07000095,E07000005,40.42
E07000096,E07000005,12.412
E07000242,E07000005,47.425
E07000240,E07000005,22.182
E07000241,E07000005,31.463
E07000099,E07000005,43.126
E07000103,E07000005,15.58
E07000243,E07000005,39.172
E07000116,E07000005,96.909
E07000112,E07000005,132.716
E07000111,E07000005,71.527
E07000115,E07000005,82.071
E07000114,E07000005,141.36
E07000105,E07000005,117.644
E07000106,E07000005,127.973
E07000108,E07000005,143.082
E07000110,E07000005,97.503
E07000113,E07000005,106.892
E07000107,E07000005,67.074
E07000109,E07000005,77.272
E07000127,E07000005,263.269
E07000121,E07000005,300.525
E07000118,E07000005,259.251
E07000126,E07000005,267.718
E07000125,E07000005,249.872
E07000119,E07000005,280.633
E07000123,E07000005,275.178
E07000128,E07000005,289.217
E07000122,E07000005,264.784
E07000124,E07000005,276.334
E07000120,E07000005,260
E07000117,E07000005,257.051
E07000132,E07000005,116.48
E07000134,E07000005,130.6
E07000133,E07000005,125.108
E07000131,E07000005,99.02
E07000129,E07000005,107.136
E07000130,E07000005,122.746
E07000135,E07000005,105.768
E07000142,E07000005,190.761
E07000141,E07000005,130.792
E07000140,E07000005,130.755
E07000136,E07000005,149.717
E07000139,E07000005,156.301
E07000137,E07000005,180.178
E07000138,E07000005,171.862
E07000145,E07000005,189.603
E07000149,E07000005,160.088
E07000146,E07000005,138.512
E07000143,E07000005,142.308
E07000148,E07000005,168.215
E07000155,E07000005,56.875
E07000152,E07000005,86.734
E07000151,E07000005,76.357
E07000156,E07000005,67.802
E07000153,E07000005,83.48
E07000154,E07000005,64.868
E07000150,E07000005,91.177
E07000168,E07000005,298.828
E07000169,E07000005,236.835
E07000163,E07000005,286.473
E07000166,E07000005,310.862
E07000165,E07000005,273.373
E07000167,E07000005,281.874
E07000164,E07000005,293.64
E07000171,E07000005,185.176
E07000176,E07000005,138.602
E07000173,E07000005,153.631
E07000170,E07000005,162.817
E07000175,E07000005,161.798
E07000172,E07000005,150.499
E07000174,E07000005,169.866
E07000180,E07000005,56.541
E07000179,E07000005,31.131
E07000177,E07000005,54.336
E07000181,E07000005,63.149
E07000178,E07000005,43.16
E07000191,E07000005,208.186
E07000187,E07000005,143.427
E07000190,E07000005,191.277
E07000189,E07000005,164.22
E07000188,E07000005,170.766
E07000198,E07000005,180.825
E07000196,E07000005,149.259
E07000194,E07000005,137.987
E07000195,E07000005,185.992
E07000197,E07000005,167.451
E07000193,E07000005,154.403
E07000192,E07000005,147.375
E07000199,E07000005,127.407
E07000206,E07000005,172.592
E07000200,E07000005,113.99
E07000205,E07000005,150.213
E07000204,E07000005,108.577
E07000201,E07000005,109.353
E07000203,E07000005,133.962
E07000202,E07000005,130.003
E07000216,E07000005,59.026
E07000215,E07000005,64.756
E07000217,E07000005,41.043
E07000214,E07000005,37.665
E07000212,E07000005,32.45
E07000209,E07000005,48.347
E07000211,E07000005,56.358
E07000210,E07000005,56.169
E07000207,E07000005,39.51
E07000213,E07000005,30.523
E07000208,E07000005,45.694
E07000218,E07000005,118.288
E07000220,E07000005,91.867
E07000222,E07000005,96.019
E07000221,E07000005,88.055
E07000219,E07000005,108.208
E07000224,E07000005,93.466
E07000223,E07000005,95.784
E07000225,E07000005,83.019
E07000228,E07000005,81.24
E07000227,E07000005,78.526
E07000229,E07000005,96.06
E07000226,E07000005,69.087
E07000235,E07000005,130.6
E07000239,E07000005,137.158
E07000238,E07000005,111.679
E07000234,E07000005,121.724
E07000237,E07000005,123.077
E07000236,E07000005,112.919
E09000021,E07000005,40.229
E09000008,E07000005,52.113
E09000006,E07000005,58.303
E09000018,E07000005,29.746
E09000009,E07000005,27.045
E09000016,E07000005,60.164
E09000017,E07000005,19.954
E09000015,E07000005,21.861
E09000005,E07000005,28.375
E09000003,E07000005,29.783
E09000022,E07000005,43.393
E09000028,E07000005,44.712
E09000023,E07000005,49.405
E09000011,E07000005,52.614
E09000004,E07000005,58.708
E09000010,E07000005,37.531
E09000031,E07000005,43.649
E09000026,E07000005,49.837
E09000029,E07000005,47.226
E09000027,E07000005,34.315
E09000024,E07000005,42.393
E09000032,E07000005,39.789
E09000013,E07000005,34.942
E09000020,E07000005,36.172
E09000033,E07000005,37.327
E09000007,E07000005,35.825
E09000030,E07000005,44.99
E09000019,E07000005,38.73
E09000012,E07000005,41.608
E09000014,E07000005,37.383
E09000025,E07000005,49.15
E09000002,E07000005,54.843
